image_id,top_1_token_id,top_1_word,top_1_score,top_2_token_id,top_2_word,top_2_score,top_3_token_id,top_3_word,top_3_score,top_4_token_id,top_4_word,top_4_score,top_5_token_id,top_5_word,top_5_score
459500,4979,cu,0.067138671875,649,put,0.06365966796875,25121,взя,0.06085205078125,30787,よ,0.05938720703125,5408,England,0.0587158203125
416885,26968,roe,0.071533203125,19891,/_,0.0648193359375,31493,드,0.06475830078125,3660,ae,0.06353759765625,16171,Debug,0.0633544921875
499181,22840,DBC,0.0665283203125,3146,gi,0.06640625,11140,dbc,0.064697265625,16171,Debug,0.06439208984375,9011,тора,0.0638427734375
460147,16171,Debug,0.0672607421875,29899,-,0.06390380859375,705,we,0.06280517578125,9503,btn,0.061279296875,29975,б,0.060302734375
349860,1,<s>,0.07232666015625,6759,iente,0.068603515625,17572,wort,0.06475830078125,85,R,0.06353759765625,17249,acions,0.06304931640625
274411,499,ult,0.07061767578125,8074,Linux,0.06866455078125,3930,argin,0.067626953125,11689,iens,0.0665283203125,12154,role,0.0662841796875
542423,6052,ления,0.06231689453125,29296,agua,0.0609130859375,573,ive,0.060760498046875,4861,ih,0.0587158203125,10257,professional,0.05816650390625
354753,2310,dem,0.0704345703125,13247,agog,0.06927490234375,2899,ров,0.0672607421875,85,R,0.06610107421875,7799,cles,0.062408447265625
293794,641,ри,0.068359375,26968,roe,0.0677490234375,705,we,0.0675048828125,16346,ion,0.066650390625,26863,Rights,0.065185546875
344909,29899,-,0.07305908203125,16171,Debug,0.06915283203125,6544,oles,0.0684814453125,12027,Exp,0.06719970703125,31379,‬,0.0667724609375
323828,1980,ptions,0.07476806640625,85,R,0.072998046875,705,we,0.07000732421875,11234,uber,0.069580078125,2103,width,0.06903076171875
488664,3660,ae,0.07415771484375,19861,conscious,0.0712890625,17181,Justice,0.0677490234375,21291,соб,0.06744384765625,1144,ins,0.06610107421875
356424,26330,xp,0.07373046875,16171,Debug,0.0731201171875,26968,roe,0.07086181640625,193,�,0.06689453125,16931,Ky,0.06317138671875
521052,18401,adem,0.0650634765625,1182,br,0.0643310546875,193,�,0.0643310546875,7353,flag,0.0638427734375,12927,ivos,0.0631103515625
344888,12533,pton,0.07379150390625,5109,ån,0.07293701171875,23062,ceae,0.068115234375,17464,oslav,0.0670166015625,30898,度,0.06683349609375
67616,29052,zat,0.072265625,29872,e,0.071533203125,272,or,0.0697021484375,6544,oles,0.0660400390625,12336,PUT,0.06561279296875
160012,17673,řed,0.0703125,1,<s>,0.0693359375,26968,roe,0.06927490234375,31621,ゆ,0.0645751953125,31974,候,0.06146240234375
276707,12567,excell,0.0703125,30058,î,0.069580078125,20613,voet,0.06927490234375,2583,лю,0.06622314453125,12735,ху,0.0634765625
506707,18212,стру,0.08203125,22728,scratch,0.07415771484375,26330,xp,0.0726318359375,5444,fa,0.069091796875,30898,度,0.06829833984375
200961,30142,λ,0.0634765625,21271,MC,0.061614990234375,30455,Λ,0.06072998046875,17572,wort,0.0604248046875,31029,კ,0.059783935546875
319607,29987,&,0.0693359375,29899,-,0.0633544921875,5739,Gen,0.06048583984375,207,�,0.05950927734375,24195,sein,0.058197021484375
79034,20342,ardon,0.072998046875,24574,aders,0.06805419921875,25463,ações,0.064208984375,10257,professional,0.06353759765625,18666,abund,0.062347412109375
255917,8465,fails,0.0694580078125,1915,lin,0.06756591796875,30019,ç,0.0667724609375,21334,fier,0.066650390625,19861,conscious,0.06610107421875
109441,649,put,0.0721435546875,15513,>.,0.06591796875,16882,ecc,0.065185546875,25463,ações,0.06292724609375,16171,Debug,0.0623779296875
45596,6544,oles,0.07122802734375,30729,Ì,0.06976318359375,29975,б,0.06524658203125,649,put,0.06488037109375,6621,üt,0.06341552734375
201934,26538,adic,0.0679931640625,1263,ова,0.0667724609375,18282,iku,0.06439208984375,287,ed,0.06353759765625,1845,ateg,0.06341552734375
326541,4392,exam,0.068603515625,4896,чен,0.0650634765625,1980,ptions,0.06390380859375,23276,dale,0.063232421875,4595,grand,0.061798095703125
174482,25097,lieutenant,0.060791015625,26968,roe,0.060638427734375,6544,oles,0.06048583984375,6052,ления,0.0599365234375,30142,λ,0.05816650390625
463849,695,cl,0.0635986328125,19861,conscious,0.06353759765625,161,�,0.06256103515625,31250,ど,0.062408447265625,22477,Gaussian,0.061370849609375
225532,85,R,0.0843505859375,32014,,0.07989501953125,32043,,0.07977294921875,32039,,0.0797119140625,32030,,0.0797119140625
439623,6544,oles,0.08026123046875,13488,Nicol,0.0697021484375,29899,-,0.0684814453125,20342,ardon,0.0679931640625,19982,leb,0.0677490234375
380706,30572,テ,0.06695556640625,27165,внут,0.06573486328125,28151,Отече,0.0638427734375,26968,roe,0.06329345703125,10394,(@,0.0631103515625
61108,26968,roe,0.07269287109375,4330,TE,0.068359375,13073,ctx,0.068115234375,20556,rama,0.06549072265625,8541,dram,0.065185546875
338986,414,ers,0.07086181640625,19861,conscious,0.06768798828125,27067,omed,0.06756591796875,30068,Х,0.0648193359375,287,ed,0.06427001953125
396338,6544,oles,0.08087158203125,17259,itors,0.07281494140625,18015,ardi,0.0687255859375,4167,ands,0.0631103515625,1263,ова,0.0631103515625
295809,2045,https,0.0704345703125,23697,substitution,0.06561279296875,29876,n,0.06427001953125,12567,excell,0.06396484375,6544,oles,0.06292724609375
563653,29052,zat,0.06884765625,31621,ゆ,0.06585693359375,1915,lin,0.063232421875,28703,Gött,0.0631103515625,11140,dbc,0.062255859375
89556,4890,characters,0.065185546875,10964,essions,0.06085205078125,2689,mente,0.060272216796875,31621,ゆ,0.059814453125,10418,nomin,0.05950927734375
