image_id,top_1_token_id,top_1_word,top_1_score,top_2_token_id,top_2_word,top_2_score,top_3_token_id,top_3_word,top_3_score,top_4_token_id,top_4_word,top_4_score,top_5_token_id,top_5_word,top_5_score
406570,17889,rôle,0.0706787109375,31979,才,0.0673828125,25603,hardt,0.0654296875,23151,Hitler,0.0650634765625,1,<s>,0.06390380859375
389381,31376,求,0.07452392578125,30142,λ,0.0723876953125,30890,대,0.062744140625,809,ew,0.06182861328125,17019,aussian,0.0595703125
540502,31376,求,0.0714111328125,4959,events,0.06915283203125,30081, ,0.068603515625,6544,oles,0.067138671875,29929,9,0.06683349609375
560256,11723,vr,0.07110595703125,17889,rôle,0.06976318359375,21151,Klein,0.0643310546875,26968,roe,0.064208984375,13449,flags,0.0640869140625
498919,705,we,0.072265625,17889,rôle,0.07147216796875,26911,Alabama,0.0645751953125,24760,Luther,0.0633544921875,5332,German,0.063232421875
551660,646,iew,0.069091796875,12700,meta,0.068603515625,31376,求,0.06842041015625,24467,юза,0.06805419921875,1320,dist,0.06793212890625
359833,649,put,0.075439453125,22089,круп,0.0716552734375,32008,,0.0706787109375,32027,,0.07061767578125,32042,,0.070556640625
158660,30081, ,0.0648193359375,29975,б,0.06475830078125,545,ure,0.06378173828125,649,put,0.06341552734375,31741,羅,0.0633544921875
376307,9195,licher,0.076416015625,23761,быть,0.06500244140625,17530,bla,0.064697265625,29975,б,0.064453125,8367,rail,0.064453125
322959,26424,Kirk,0.0692138671875,26797,fict,0.06787109375,3041,inf,0.06494140625,27479,nats,0.0626220703125,1981,itu,0.06195068359375
34873,29929,9,0.06915283203125,23014,gal,0.06793212890625,1188,log,0.0673828125,30257,大,0.0653076171875,16816,Cole,0.06500244140625
66231,641,ри,0.06988525390625,23446,nep,0.0697021484375,202,�,0.0692138671875,31376,求,0.0687255859375,21710,Ri,0.066162109375
40471,7459,lide,0.0675048828125,13915,Venez,0.06585693359375,17572,wort,0.06536865234375,30081, ,0.0628662109375,14873,atar,0.059295654296875
69356,17889,rôle,0.0673828125,9195,licher,0.066650390625,1780,void,0.06591796875,5149,correctly,0.06573486328125,191,�,0.06573486328125
6614,6544,oles,0.0721435546875,17889,rôle,0.06787109375,26424,Kirk,0.06610107421875,575,ens,0.06268310546875,16171,Debug,0.061859130859375
440475,16171,Debug,0.0802001953125,21022,trunc,0.06646728515625,1188,log,0.06585693359375,11412,cycle,0.06304931640625,13681,DC,0.062408447265625
185599,17889,rôle,0.0716552734375,705,we,0.0687255859375,1263,ова,0.0648193359375,16171,Debug,0.06402587890625,1485,aus,0.0633544921875
74209,1188,log,0.07275390625,30034,ß,0.068359375,17694,tale,0.06524658203125,30579,ム,0.06390380859375,7454,itel,0.06298828125
192871,26791,hens,0.07135009765625,1,<s>,0.06842041015625,29970,я,0.06646728515625,1485,aus,0.06610107421875,16171,Debug,0.06597900390625
537506,1,<s>,0.0762939453125,3146,gi,0.0697021484375,17408,гом,0.067626953125,9503,btn,0.067138671875,15693,occ,0.066650390625
217753,705,we,0.0709228515625,30047,ř,0.06976318359375,1485,aus,0.06768798828125,17889,rôle,0.06695556640625,641,ри,0.06585693359375
479596,17889,rôle,0.0689697265625,22089,круп,0.0684814453125,27714,Durant,0.06732177734375,21022,trunc,0.06719970703125,705,we,0.0667724609375
280891,1,<s>,0.07537841796875,30495,定,0.072265625,26968,roe,0.07037353515625,30058,î,0.0692138671875,16171,Debug,0.06890869140625
548506,21151,Klein,0.0660400390625,21710,Ri,0.064697265625,641,ри,0.06402587890625,1,<s>,0.06396484375,16171,Debug,0.06292724609375
188592,32042,,0.0811767578125,32027,,0.08111572265625,32021,,0.0810546875,32006,,0.0810546875,32018,,0.08087158203125
125936,1263,ова,0.0693359375,24467,юза,0.06866455078125,17889,rôle,0.06610107421875,17572,wort,0.06597900390625,193,�,0.06597900390625
407825,29246,сра,0.07391357421875,273,an,0.0694580078125,30058,î,0.06866455078125,30019,ç,0.06756591796875,2536,sl,0.06689453125
203095,24574,aders,0.0679931640625,138,�,0.06353759765625,85,R,0.0633544921875,27511,uclidean,0.06280517578125,8541,dram,0.0625
575970,30034,ß,0.0704345703125,11148,ll,0.0654296875,26330,xp,0.0648193359375,1567,ems,0.063720703125,4553,так,0.06268310546875
119452,24760,Luther,0.0731201171875,1485,aus,0.06756591796875,26424,Kirk,0.0672607421875,641,ри,0.067138671875,1,<s>,0.0665283203125
78266,705,we,0.0787353515625,1565,true,0.0726318359375,30083,ë,0.072265625,17572,wort,0.071533203125,21110,lingu,0.06884765625
14226,31376,求,0.0723876953125,20342,ardon,0.072265625,22238,Laravel,0.0711669921875,5475,iles,0.06591796875,21710,Ri,0.0648193359375
